date,service_uptime,mttr,mtbf,error_rate,user_satisfaction,sla_compliance
2025-02-23,99.7,20.5,1890.4,0.15,4.5,95.5
2025-02-24,99.94,23.4,2153.9,0.06,4.7,98.4
2025-02-25,99.65,20.8,2072.7,0.2,4.6,94.4
2025-02-26,99.79,13.3,1906.1,0.06,4.7,96.3
2025-02-27,99.87,22.2,2208.5,0.08,4.7,98.9
2025-02-28,99.71,16.1,2423.7,0.13,4.3,96.4
2025-03-01,99.8,22.7,2348.7,0.11,4.5,97.0
2025-03-02,99.8,20.6,2241.3,0.12,4.3,95.6
2025-03-03,99.99,19.0,2049.6,0.09,4.7,99.1
2025-03-04,100.0,15.4,2094.3,0.04,4.8,99.4
2025-03-05,99.82,16.7,2318.2,0.17,4.6,96.6
2025-03-06,99.63,14.5,1999.4,0.05,4.8,98.5
2025-03-07,99.79,23.1,2289.1,0.02,4.6,96.4
2025-03-08,99.75,18.0,2320.1,0.15,4.4,98.4
2025-03-09,99.91,14.4,2033.7,0.19,4.7,95.1
2025-03-10,99.73,23.3,2414.7,0.05,4.9,96.9
2025-03-11,99.75,23.0,2031.4,0.14,4.6,97.1
2025-03-12,99.63,10.6,2085.1,0.09,4.6,100.0
2025-03-13,99.39,30.7,2140.7,0.0,4.4,92.7
2025-03-14,99.42,11.3,2137.9,0.07,4.2,95.6
2025-03-15,99.89,23.8,2257.4,0.02,4.9,95.8
2025-03-16,99.63,21.5,2387.0,0.11,4.7,95.0
2025-03-17,99.62,12.7,2394.0,0.15,4.3,94.0
2025-03-18,99.91,10.8,2316.5,0.2,4.5,96.4
2025-03-19,99.89,22.5,2125.7,0.07,4.7,97.5
2025-03-20,99.97,24.1,2234.1,0.13,4.7,96.4
2025-03-21,99.94,22.2,1907.0,0.14,4.8,96.0
2025-03-22,99.78,21.6,2401.4,0.08,4.9,96.9
2025-03-23,99.89,15.1,1953.6,0.06,4.9,97.0
2025-03-24,99.92,12.6,2288.1,0.05,4.8,100.0
2025-03-25,99.67,11.5,1930.2,0.04,4.6,97.4
2025-03-26,99.73,13.9,2281.8,0.08,4.9,100.0
2025-03-27,99.82,21.9,2267.4,0.08,4.9,95.9
2025-03-28,99.89,17.7,2048.8,0.1,4.7,96.1
2025-03-29,99.92,18.2,2472.0,0.12,4.4,97.1
2025-03-30,99.98,12.7,2156.4,0.14,4.5,98.4
2025-03-31,99.67,17.9,2245.1,0.02,4.6,99.1
2025-04-01,99.81,20.9,2417.9,0.12,4.5,95.9
2025-04-02,99.73,17.9,2106.8,0.03,5.0,96.3
2025-04-03,99.76,22.8,2194.1,0.16,4.5,94.7
2025-04-04,99.92,11.9,2444.4,0.15,4.4,97.3
2025-04-05,99.9,14.6,1978.7,0.14,4.6,96.3
2025-04-06,99.84,21.6,2351.2,0.17,4.6,95.9
2025-04-07,99.68,22.7,2395.0,0.09,4.6,97.6
2025-04-08,99.87,26.1,2178.2,0.15,4.7,97.4
2025-04-09,99.74,16.3,2017.7,0.13,4.3,95.2
2025-04-10,99.65,16.2,2327.0,0.13,4.8,98.9
2025-04-11,99.79,12.2,1983.4,0.02,4.7,99.1
2025-04-12,99.96,9.3,2034.6,0.05,4.7,98.0
2025-04-13,99.76,20.5,2285.0,0.08,5.0,100.0
2025-04-14,99.82,10.9,1958.8,0.06,5.0,98.9
2025-04-15,99.85,19.2,2438.4,0.04,4.6,98.2
2025-04-16,99.9,9.1,2437.5,0.06,4.8,98.0
2025-04-17,99.96,17.8,2220.5,0.1,4.3,93.4
2025-04-18,99.65,23.3,2274.5,0.13,4.9,94.9
2025-04-19,99.76,22.7,1984.4,0.14,4.7,94.2
2025-04-20,99.73,19.4,2039.7,0.08,4.7,98.5
2025-04-21,99.65,15.2,2308.3,0.18,4.7,98.9
2025-04-22,99.67,10.8,2090.0,0.1,5.0,98.6
2025-04-23,99.72,14.6,2242.4,0.11,4.5,97.0
2025-04-24,99.93,10.6,2049.2,0.14,4.7,96.4
2025-04-25,99.98,21.2,2318.6,0.19,4.5,96.9
2025-04-26,99.73,18.0,2479.7,0.05,5.0,99.1
2025-04-27,99.87,15.8,2327.0,0.17,4.7,97.3
2025-04-28,99.94,13.5,2198.7,0.12,4.3,98.0
2025-04-29,99.94,21.4,2089.4,0.06,5.0,97.5
2025-04-30,99.91,11.8,2107.9,0.09,4.6,99.0
2025-05-01,99.71,13.3,2054.6,0.08,5.0,95.9
2025-05-02,99.62,22.2,2060.5,0.15,4.3,95.3
2025-05-03,99.74,12.5,2464.0,0.16,4.3,93.6
2025-05-04,99.6,22.3,2349.3,0.13,4.4,96.7
2025-05-05,99.8,21.8,2400.2,0.09,5.0,96.7
2025-05-06,99.82,16.2,2309.3,0.11,4.5,94.5
2025-05-07,99.97,22.9,2407.2,0.19,4.5,94.4
2025-05-08,99.86,10.1,2306.4,0.13,4.5,96.3
2025-05-09,99.97,19.7,2205.7,0.02,4.7,98.7
2025-05-10,99.83,9.5,2498.1,0.06,4.7,99.4
2025-05-11,99.72,16.3,2439.4,0.04,4.7,99.2
2025-05-12,99.87,17.5,2510.0,0.09,5.0,100.0
2025-05-13,99.92,10.3,2001.5,0.14,4.6,98.0
2025-05-14,99.64,20.7,2338.5,0.11,4.7,97.1
2025-05-15,99.92,14.6,1964.5,0.13,4.3,94.5
2025-05-16,99.72,22.4,1963.4,0.08,4.9,99.6
2025-05-17,99.8,20.6,2193.5,0.16,4.7,95.4
2025-05-18,99.78,13.5,2140.1,0.07,4.6,96.4
2025-05-19,99.94,12.9,2379.4,0.14,4.6,95.8
2025-05-20,99.9,9.7,2133.3,0.18,4.7,96.0
2025-05-21,99.87,13.6,2470.1,0.12,4.6,96.9
2025-05-22,99.66,10.4,2545.6,0.08,4.9,97.1
2025-05-23,99.92,22.1,2527.8,0.09,4.8,100.0
