timestamp,server_id,cpu_usage,memory_usage,disk_usage,network_traffic,response_time,active_users,error_count
2025-02-23 00:00:00,srv3,12.1,20.0,40.0,100,50,7,0
2025-02-23 00:05:00,srv2,10.0,20.0,55.0,100,50,2,0
2025-02-23 00:10:00,srv2,11.6,24.6,55.1,224,50,11,0
2025-02-23 00:15:00,srv3,10.0,20.0,40.1,100,50,1,0
2025-02-23 00:20:00,srv3,10.0,20.0,40.1,377,50,2,0
2025-02-23 00:25:00,srv2,10.0,20.0,55.1,239,50,1,0
2025-02-23 00:30:00,srv1,10.0,27.2,60.0,205,50,7,0
2025-02-23 00:35:00,srv2,10.0,20.0,55.1,126,50,9,0
2025-02-23 00:40:00,srv3,10.0,20.0,40.1,100,50,7,0
2025-02-23 00:45:00,srv3,10.0,24.5,40.1,100,50,4,0
2025-02-23 00:50:00,srv2,10.0,20.0,55.1,681,50,1,0
2025-02-23 00:55:00,srv2,12.0,20.0,55.2,419,50,1,0
2025-02-23 01:00:00,srv3,10.0,20.0,40.1,411,50,3,0
2025-02-23 01:05:00,srv1,10.0,20.0,60.0,446,50,1,0
2025-02-23 01:10:00,srv2,10.3,21.6,55.2,100,50,10,0
2025-02-23 01:15:00,srv1,10.0,20.0,60.1,265,50,5,0
2025-02-23 01:20:00,srv2,10.0,20.0,55.2,1065,50,1,0
2025-02-23 01:25:00,srv2,10.0,20.0,55.2,427,50,1,0
2025-02-23 01:30:00,srv3,10.0,20.0,40.1,100,50,1,0
2025-02-23 01:35:00,srv1,10.0,20.0,60.1,100,50,10,0
2025-02-23 01:40:00,srv1,10.0,20.0,60.1,457,50,6,0
2025-02-23 01:45:00,srv1,10.0,20.0,60.1,1174,50,1,0
2025-02-23 01:50:00,srv3,10.0,20.0,40.1,317,50,1,0
2025-02-23 01:55:00,srv3,10.0,20.0,40.2,135,50,1,0
2025-02-23 02:00:00,srv2,10.0,20.0,55.2,114,50,1,0
2025-02-23 02:05:00,srv1,10.0,20.0,60.1,100,50,7,0
2025-02-23 02:10:00,srv3,10.0,20.0,40.2,148,50,8,0
2025-02-23 02:15:00,srv2,10.0,27.7,55.3,100,50,3,0
2025-02-23 02:20:00,srv2,14.0,20.0,55.3,577,50,10,0
2025-02-23 02:25:00,srv2,10.0,22.1,55.3,291,50,15,0
2025-02-23 02:30:00,srv2,10.0,20.0,55.3,922,50,7,0
2025-02-23 02:35:00,srv3,10.8,20.0,40.2,532,50,5,0
2025-02-23 02:40:00,srv2,10.2,20.0,55.3,195,50,7,1
2025-02-23 02:45:00,srv1,10.0,20.0,60.2,100,50,1,0
2025-02-23 02:50:00,srv2,10.0,20.0,55.4,556,50,1,0
2025-02-23 02:55:00,srv1,10.0,20.0,60.2,814,50,6,0
2025-02-23 03:00:00,srv3,10.0,20.0,40.3,563,50,1,0
2025-02-23 03:05:00,srv2,10.0,20.0,55.4,402,50,5,0
2025-02-23 03:10:00,srv1,12.0,20.0,60.2,100,50,4,0
2025-02-23 03:15:00,srv2,10.0,20.0,55.4,1261,50,1,0
2025-02-23 03:20:00,srv1,10.7,20.0,60.2,100,50,2,0
2025-02-23 03:25:00,srv3,10.0,20.0,40.3,542,50,3,0
2025-02-23 03:30:00,srv1,10.0,20.0,60.2,487,50,12,0
2025-02-23 03:35:00,srv2,10.0,20.0,55.4,756,50,4,0
2025-02-23 03:40:00,srv1,10.0,20.0,60.3,100,50,9,0
2025-02-23 03:45:00,srv3,10.0,20.0,40.3,599,50,13,0
2025-02-23 03:50:00,srv3,12.7,20.0,40.3,507,50,7,0
2025-02-23 03:55:00,srv3,11.5,20.0,40.3,489,50,10,0
2025-02-23 04:00:00,srv2,15.4,20.0,55.4,456,50,1,0
2025-02-23 04:05:00,srv1,10.0,20.0,60.3,538,50,2,0
